seq_len,d_model,fwd_vanilla_ms,fwd_compiled_ms,bwd_vanilla_ms,bwd_compiled_ms,error,error_compiled
256,16,0.1078,0.0782,0.604,0.7215,,
256,32,0.1072,0.0917,0.7923,0.7383,,
256,64,0.1072,0.09,0.6943,0.6091,,
256,128,0.1063,0.0891,0.6004,0.6334,,
1024,16,0.1585,0.1283,0.6806,0.63,,
1024,32,0.1668,0.1347,0.693,0.7211,,
1024,64,0.1834,0.1565,0.7708,0.6696,,
1024,128,0.2191,0.1932,0.7616,0.7206,,
4096,16,1.7419,0.8447,4.2297,1.9561,,
4096,32,1.8292,0.9201,4.2027,2.152,,
4096,64,2.1458,1.2328,4.9798,2.8184,,
4096,128,2.6984,1.7818,5.9823,3.8584,,
8192,16,7.0401,3.1863,15.2053,6.4926,,
8192,32,7.3789,3.53,15.599,6.9917,,
8192,64,8.6035,4.7395,17.7407,9.0193,,
8192,128,10.8913,7.0275,22.4802,13.909,,
16384,16,26.7015,11.9846,57.4087,23.4099,,
16384,32,28.184,13.4693,58.8621,24.8831,,
16384,64,33.214,18.4647,68.714,34.9677,,
16384,128,41.7693,27.0285,85.3229,51.535,,
